Date,cazhi,f,pl,t,p
2021/1/10 1:14,25.47,25.728001,5793.5601,226.2,0.87800002
2021/1/10 2:14,25.47,25.278999,5688.3398,226.60001,0.87900001
2021/1/10 3:14,25.53,25.283001,5877.7402,226.8,0.84899998
2021/1/10 4:14,25.72,25.176001,5892.0498,225.89999,0.84100002
2021/1/10 5:14,26.45,26.256001,5981.6499,225.7,0.866
2021/1/10 6:14,26.41,26.044001,5960.1802,226.89999,0.86400002
2021/1/10 7:14,26.26,25.9,6013.3301,227.2,0.84799999
2021/1/10 8:14,26.37,26.094999,6291.2402,227.10001,0.81699997
2021/1/10 9:14,24.81,26.535999,6324.21,226.89999,0.82700002
2021/1/10 10:14,24.38,24.386,5661.0098,225,0.847
2021/1/10 11:14,24.21,24.687,5729.7798,229.2,0.85600001
2021/1/10 12:14,23.96,24.299,5684.6499,226.39999,0.84299999
2021/1/10 13:14,23.43,24.014999,5387.4399,224.8,0.87800002
2021/1/10 14:14,25.8,25.379,5919.1699,226,0.84500003
2021/1/10 15:15,25.7,26.172001,6168.6602,225.89999,0.83499998
2021/1/10 16:15,25.73,25.459999,5958.8701,225.5,0.83999997
2021/1/10 17:15,25.63,25.575001,5662.96,228.2,0.898
2021/1/10 18:15,25.4,24.950001,5724.79,228.10001,0.86400002
2021/1/10 19:15,25.71,25.35,5765.5698,226.5,0.86900002
2021/1/10 20:15,25.8,26.349001,6101.1899,226.10001,0.852
2021/1/10 21:15,25.98,25.85,6083.8301,226.39999,0.83700001
2021/1/10 22:15,25.63,25.434,5974.2798,228.10001,0.84299999
2021/1/10 23:15,25.76,25.767,6070.8198,226.8,0.83700001
2021/1/11 0:15,25.89,25.679001,6015.0601,226.39999,0.84200001
2021/1/11 1:15,25.5,25.681,6065.8301,226.5,0.83399999
2021/1/11 2:15,24.8,24.660999,5784.8799,226.39999,0.83999997
2021/1/11 3:15,21.07,24.849001,5867.7598,227.39999,0.83600003
2021/1/11 4:15,23.81,19.511999,4388.8301,223.8,0.87300003
2021/1/11 5:15,26.05,26.041,5938.9102,227,0.86799997
2021/1/11 6:15,26.11,25.778999,5964.2998,227.8,0.85600001
2021/1/11 7:15,26.24,25.976999,5928.5,227.2,0.86699998
2021/1/11 8:15,26.09,26.437,6363.0498,228.10001,0.82099998
2021/1/11 9:15,26.28,26.165001,6159.3301,226,0.83600003
2021/1/11 10:15,26.23,25.874001,5706.7798,225.60001,0.89600003
2021/1/11 11:15,26.07,25.903999,6084.4902,227.5,0.84200001
2021/1/11 12:15,25.99,25.743,6009.6401,224.8,0.84100002
2021/1/11 13:15,26.2,26.093,5793.5601,223.89999,0.88599998
2021/1/11 14:15,25.58,25.98,5820.25,225.7,0.88099998
2021/1/11 15:15,26.06,25.865999,5896.8301,226,0.866
2021/1/11 16:15,25.93,25.811001,5596.1401,227.2,0.91600001
2021/1/11 17:15,25.79,25.943001,5853.6499,228.2,0.88
2021/1/11 18:15,25.84,25.579,5755.1602,227.10001,0.88
2021/1/11 19:15,25.9,26.364,5838.0298,226.8,0.89499998
2021/1/11 20:15,26.2,25.93,5621.96,228,0.91799998
2021/1/11 21:15,26.15,26.322001,5871.4399,227.2,0.889
2021/1/11 22:15,26.12,25.868,5812.6499,227.39999,0.88200003
2021/1/11 23:15,24.69,26.247,5856.04,229.8,0.89499998
2021/1/12 0:15,26.09,26.190001,5982.96,228.39999,0.86900002
2021/1/12 1:15,26.23,25.754,6003.3501,228.89999,0.85100001
2021/1/12 2:15,26.38,26.452,6052.3799,227,0.86400002
2021/1/12 3:15,26.16,26.381001,6000.96,229.8,0.87599999
2021/1/12 4:15,26.3,26.186001,6057.7998,227.89999,0.85600001
2021/1/12 5:15,26.33,26.139999,5900.0801,226.8,0.87699997
2021/1/12 6:15,26.7,26.139,6091.4302,225.89999,0.84500003
2021/1/12 7:15,26.29,26.667999,5854.3101,226.8,0.903
2021/1/12 8:15,26.53,26.587,6235.0498,225.2,0.838
2021/1/12 9:15,26.57,26.290001,5948.8901,223.2,0.866
2021/1/12 10:15,26.42,26.222,5909.4102,223.39999,0.87
2021/1/12 11:15,26.47,26.087,5831.3101,226.39999,0.88499999
2021/1/12 12:15,23.21,26.455,5783.5801,225.8,0.90499997
2021/1/12 13:15,26.39,26.851,5774.25,226.7,0.92299998
2021/1/12 14:15,26.26,26.309999,5953.23,226.10001,0.87300003
2021/1/12 15:15,26.41,26.298,6106.1802,226.39999,0.85000002
2021/1/12 16:15,26.14,26.280001,5664.6899,225.10001,0.917
2021/1/12 17:15,26.17,26.041,6049.1201,225.60001,0.84799999
2021/1/12 18:15,26.46,26.534,6202.7202,224.10001,0.83899999
2021/1/12 19:15,26.14,25.896,6017.6699,224.60001,0.84500003
2021/1/12 20:15,26.19,25.782,5977.9702,226,0.85000002
2021/1/12 21:15,26.43,25.503,5771.8701,226.2,0.87300003
2021/1/12 22:15,26.19,26.070999,5855.3901,228.2,0.88499999
2021/1/12 23:15,26.24,26.261999,6142.6299,229.60001,0.85000002
2021/1/13 0:15,26.33,26.518999,6286.25,227.2,0.833
2021/1/13 1:15,26.66,26.205,6065.8301,227.8,0.85600001
2021/1/13 2:15,26.39,26.509001,6137.8501,227.10001,0.85399997
2021/1/13 3:15,26.35,26.495001,6151.3101,228.39999,0.85399997
2021/1/13 4:15,26.56,26.214001,6085.79,229.7,0.85699999
2021/1/13 5:15,26.27,26.035,5901.1699,230.3,0.88099998
2021/1/13 6:15,23.23,26.451,6182.3301,230.10001,0.852
2021/1/13 7:15,26.71,27.354,6409.4702,228.2,0.84500003
2021/1/13 8:15,26.11,26.84,6256.52,226.39999,0.84600002
2021/1/13 9:15,25.94,26.229,5919.8198,227.10001,0.87800002
2021/1/13 10:15,25.9,25.715,5794.21,226.2,0.87699997
2021/1/13 11:15,25.85,25.664,5552.75,229.89999,0.92400002
2021/1/13 12:15,24.08,26.243999,5836.2998,229.2,0.89600003
2021/1/13 13:15,18.69,18.379999,4059.9399,222.39999,0.88700002
2021/1/13 14:15,25.08,30.752001,7195.8999,225.7,0.84100002
2021/1/13 15:15,19.22,18.648001,3960.3601,223.10001,0.926
2021/1/13 16:16,25.5,26.035999,5905.0698,228.7,0.87699997
2021/1/13 17:16,25.75,26.132999,6024.3901,227.10001,0.85799998
2021/1/13 18:16,25.66,25.49,5961.9102,225.89999,0.84299999
2021/1/13 19:16,25.53,25.771,5762.54,226.39999,0.88499999
2021/1/13 20:16,25.77,26.135,5961.2598,226.60001,0.86699998
2021/1/13 21:16,25.71,25.667,5594.8398,224.8,0.90499997
2021/1/13 22:16,25.69,25.339001,5887.0601,226.8,0.85000002
2021/1/13 23:16,25.8,26.018,5739.7598,227.89999,0.90100002
2021/1/14 0:16,22.38,26.129,5652.98,228.2,0.92000002
2021/1/14 1:16,25.94,25.136999,5813.2998,228.39999,0.85799998
2021/1/14 2:16,25.71,25.815001,5878.3901,229.39999,0.87400001
2021/1/14 3:16,26.05,26.297001,5967.5498,226.10001,0.87
2021/1/14 4:16,25.91,25.948999,6116.1602,229,0.84200001
2021/1/14 5:16,25.89,26.113001,5855.3901,228.10001,0.88599998
2021/1/14 6:16,25.98,25.895,5805.9302,227.2,0.884
2021/1/14 7:16,25.78,25.281,5927.8501,227.89999,0.84399998
2021/1/14 8:16,25.73,25.448,5796.6001,226.89999,0.86799997
2021/1/14 9:16,25.83,25.341999,5846.71,225.39999,0.85299999
2021/1/14 10:16,25.74,25.343,5723.4902,227.2,0.87699997
2021/1/14 11:16,25.21,25.650999,5703.0898,232.2,0.903
2021/1/14 12:16,25.34,25.438999,5857.3398,231.10001,0.86799997
2021/1/14 13:16,25.41,25.534,5628.8999,227.39999,0.90100002
2021/1/14 14:16,25.02,24.641001,5504.3701,230.60001,0.89499998
2021/1/14 15:16,25.11,25.118999,5529.75,228.60001,0.90499997
2021/1/14 16:16,25.25,25.325001,5670.9902,228.60001,0.88800001
2021/1/14 17:16,24.98,24.657,5423.8799,227.7,0.903
2021/1/14 18:16,24.99,24.822001,5598.5298,228.8,0.88200003
2021/1/14 19:16,25.26,24.736,5782.2798,229.60001,0.85000002
2021/1/14 20:16,25,24.591,5537.1299,229.8,0.88599998
2021/1/14 21:16,25.13,25.059,5808.96,229.10001,0.85699999
2021/1/14 22:16,25.21,24.91,5997.27,227.8,0.81800002
2021/1/14 23:16,25.42,24.999001,5917.8701,228.60001,0.83700001
2021/1/15 0:16,23.35,23.638,5295.6699,226.60001,0.88300002
2021/1/15 1:16,23.35,23.816999,5339.0601,226.89999,0.884
2021/1/15 2:16,23.69,23.712,5508.0601,227.39999,0.85100001
2021/1/15 3:16,23.67,23.349001,5249.8901,227.2,0.88099998
2021/1/15 4:16,23.76,23.545,5537.1299,227.5,0.83999997
2021/1/15 5:16,23.78,23.709999,5479.6401,227.10001,0.85500002
2021/1/15 6:16,23.91,23.195999,5251.8398,227.89999,0.87599999
2021/1/15 7:16,23.97,24.379999,5646.25,227.8,0.85500002
2021/1/15 8:16,24.13,24.533001,5520.4199,225.8,0.87699997
2021/1/15 9:16,24.18,24.424,5587.46,224.10001,0.85799998
2021/1/15 10:16,24.13,24.239,5381.7998,226.10001,0.89099997
2021/1/15 11:16,24.09,23.976,5399.7998,225.8,0.87599999
2021/1/15 12:16,23.75,23.85,5256.1802,228.7,0.90399998
2021/1/15 13:16,24.13,23.972,5270.9399,227.5,0.903
2021/1/15 14:16,21.04,25.103001,5635.6201,228.8,0.88599998
2021/1/15 15:16,18.99,25.222,5646.8999,227.10001,0.88499999
2021/1/15 16:16,20,17.566999,3845.8101,225.7,0.903
2021/1/15 17:16,24.92,25.452,5656.02,228.10001,0.89499998
2021/1/15 18:16,24.89,24.750999,5509.3599,227.5,0.89200002
2021/1/15 19:16,24.96,24.955999,5863.4199,227.2,0.84100002
2021/1/15 20:16,23.18,24.836,5657.9702,226.60001,0.86799997
2021/1/15 21:16,18.99,18.587,4031.52,224.10001,0.90799999
2021/1/15 22:16,23.96,23.309999,5122.98,226.2,0.90100002
2021/1/15 23:16,23.73,23.797001,5244.8999,228.60001,0.90399998
2021/1/16 0:16,23.79,23.76,5115.6001,227.60001,0.92400002
2021/1/16 1:16,23.41,23.465,5096.9399,228.89999,0.91799998
2021/1/16 2:16,23.28,22.879,4965.6899,229.89999,0.921
2021/1/16 3:16,23.22,23.263,5153.3501,230.3,0.903
2021/1/16 4:16,23.42,23.834999,5415.21,229.39999,0.87699997
2021/1/16 5:16,23.32,24.065001,5682.7002,230.60001,0.84299999
2021/1/16 6:16,21.94,23.728001,5222.77,230,0.90799999
2021/1/16 7:16,22.98,19.889999,4318.7598,225.5,0.91100001
2021/1/16 8:16,23.77,23.535999,5126.6699,225.7,0.90799999
2021/1/16 9:16,24.09,23.655001,5202.3799,225.89999,0.89899999
2021/1/16 10:16,24.84,24.802999,5656.02,223.2,0.85900003
2021/1/16 11:16,25.81,25.607,5547.7598,223.7,0.90799999
2021/1/16 12:16,25.56,25.579,5682.7002,224.5,0.88599998
2021/1/16 13:16,25.54,25.569,5710.04,225.8,0.884
2021/1/16 14:16,25.73,25.785999,5574.8799,224.7,0.91299999
2021/1/16 15:16,20.46,25.742001,5551.4502,223.60001,0.91299999
2021/1/16 16:16,19.97,26.407,5848.0098,224.89999,0.89099997
2021/1/16 17:17,24.6,18.222,3919.5801,223.8,0.91500002
2021/1/16 18:17,25.32,25.698,5761.2402,227.8,0.88499999
2021/1/16 19:17,25.36,25.403,5639.3101,229.2,0.898
2021/1/16 20:17,25.3,25.733,5692.0298,226.8,0.89600003
2021/1/16 21:17,25.65,25.487,5732.8198,226.8,0.88
2021/1/16 22:17,25.45,25.934,5644.9502,225.8,0.90899998
2021/1/16 23:17,25.43,25.247999,5602.21,227.89999,0.89499998
2021/1/17 0:17,25.58,25.291,5812.6499,227.60001,0.86199999
2021/1/17 1:17,24.88,25.295,5855.3901,227.39999,0.85500002
2021/1/17 2:17,24.94,24.684999,5615.8799,227.39999,0.87099999
2021/1/17 3:17,25.21,24.907,5495.6899,227.8,0.90100002
2021/1/17 4:17,25.01,24.934,5571.8398,228.2,0.889
